Trial_625_x,Trial_625_y,Trial_625_x.1,Trial_625_y.1,Trial_850_x,Trial_850_y,Trial_1371_x,Trial_1371_y,Trial_1482_x,Trial_1482_y,Trial_1605_x,Trial_1605_y,Trial_2161_x,Trial_2161_y,Trial_1178_x,Trial_1178_y,Trial_1217_x,Trial_1217_y,Trial_1664_x,Trial_1664_y,Trial_733_x,Trial_733_y,Trial_1215_x,Trial_1215_y,Trial_1399_x,Trial_1399_y
,,,,,,1.633333333,1.633333333,1.666666667,1.666666667,1.7,1.7,1.666666667,1.666666667,1.633333333,1.633333333,1.633333333,1.633333333,1.666666667,1.666666667,,,1.666666667,1.666666667,1.7,1.7
,,,,,,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.7,1.7,1.6,1.6,1.566666667,1.566666667,1.633333333,1.633333333,,,1.666666667,1.666666667,1.666666667,1.666666667
,,,,,,1.666666667,1.666666667,1.666666667,1.666666667,1.7,1.7,1.666666667,1.666666667,1.633333333,1.633333333,1.666666667,1.666666667,1.666666667,1.666666667,,,1.666666667,1.666666667,1.666666667,1.666666667
,,,,,,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,,,1.666666667,1.666666667,1.666666667,1.666666667
,,,,,,1.666666667,1.666666667,1.666666667,1.666666667,1.7,1.7,1.666666667,1.666666667,1.566666667,1.566666667,1.666666667,1.666666667,1.666666667,1.666666667,,,,,1.666666667,1.666666667
,,,,,,1.666666667,1.666666667,1.666666667,1.666666667,1.7,1.7,1.7,1.7,1.666666667,1.666666667,1.633333333,1.633333333,1.633333333,1.633333333,,,,,1.666666667,1.666666667
,,,,,,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.7,1.7,1.666666667,1.666666667,,,,,1.7,1.7
,,,,,,1.666666667,1.666666667,1.633333333,1.633333333,1.666666667,1.666666667,1.666666667,1.666666667,1.633333333,1.633333333,1.633333333,1.633333333,1.666666667,1.666666667,,,,,1.666666667,1.666666667
,,,,,,,,1.666666667,1.666666667,1.7,1.7,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,,,,,1.666666667,1.666666667
,,,,,,,,1.666666667,1.666666667,,,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.633333333,1.633333333,,,,,1.666666667,1.666666667
,,,,,,,,1.633333333,1.633333333,,,1.666666667,1.666666667,1.633333333,1.633333333,1.666666667,1.666666667,1.666666667,1.666666667,,,,,,
,,,,,,,,1.666666667,1.666666667,,,1.666666667,1.666666667,,,,,1.666666667,1.666666667,,,,,,
,,,,,,,,1.666666667,1.666666667,,,1.666666667,1.666666667,,,,,1.633333333,1.633333333,,,,,,
,,,,,,,,1.666666667,1.666666667,,,1.666666667,1.666666667,,,,,1.633333333,1.633333333,,,,,,
,,,,,,,,1.666666667,1.666666667,,,1.666666667,1.666666667,,,,,,,,,,,,
,,,,,,,,1.633333333,1.633333333,,,1.666666667,1.666666667,,,,,,,,,,,,
,,,,,,,,,,,,1.7,1.7,,,,,,,,,,,,
,,,,,,,,,,,,1.666666667,1.666666667,,,,,,,,,,,,
,,,,,,,,,,,,1.666666667,1.666666667,,,,,,,,,,,,
,,,,,,,,,,,,1.666666667,1.666666667,,,,,,,,,,,,
,,,,,,,,,,,,1.7,1.7,,,,,,,,,,,,
,,,,,,,,,,,,1.633333333,1.633333333,,,,,,,,,,,,
,,,,,,,,,,,,1.7,1.7,,,,,,,,,,,,
,,,,,,,,,,,,1.666666667,1.666666667,,,,,,,,,,,,
,,,,,,,,,,,,1.633333333,1.633333333,,,,,,,,,,,,
,,,,,,,,,,,,1.7,1.7,,,,,,,,,,,,
,,,,,,,,,,,,1.666666667,1.666666667,,,,,,,,,,,,
,,,,,,,,,,,,1.666666667,1.666666667,,,,,,,,,,,,
